"exetastiki","year","day","date","fulldate","class","course","time","place"
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","Β1","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","Β5","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","Β6","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","Β7","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","Β4","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","Β8","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη "
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","Β9","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο "
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","Β10","Ενόργανη Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο "
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β1","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β2","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β3","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β4","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β5 ","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β6","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β7","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β8","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Β9","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","Α10","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής"
