"auth-id","title","rensponsible","day","time","classroom","place","team","teacher","url","semester","team-description"
"006","Πετοσφαίριση Παραλίας","Γιάτσης","Τρίτη","12.30-14.00","Ε.Γ.   Μίκρας",,6,"Γιάτσης",,"autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"015","Συγχρονισμένη Κολύμβηση","Μάνου Κέλλης","Δευτέρα","12.30-14.00","Εθνικό Κολυμβητήριο ","ΑΠΘ",6,"Μάνου","http://www.phed.auth.gr/etefaa/course/view.php?id=88","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"080","Τεχνικές Ασκήσεων Ανάπτυξης Δύναμης & Ταχυδύναμης","Ζαγγελίδης","Τετάρτη","12.30-14.00","Αίθουσα Τένις Θέρμης","Θέρμης",6,"Σιώπης  ",,"autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"037","Τζούντο","Τσορμπατζούδης","Τρίτη","12.30-14.00","Παν/κό  Γυμν. Αίθουσα 45 ","ΑΠΘ",6,,"http://www.phed.auth.gr/etefaa/course/view.php?id=85","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"082","Τοξοβολία","Στεφανίδης","e-τεφαα",,,,6,"Πρώιος","http://www.phed.auth.gr/etefaa/course/view.php?id=84","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"ΕΠ018","Τραμπολίνο","Κουτλιάνος","Τετάρτη","12.30-14.00","Πανεπιστημιακό Γυμναστήριο","ΑΠΘ",6,"Κουτλιάνος","http://www.phed.auth.gr/etefaa/course/view.php?id=113","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"007","Τρίαθλο","Λούπος","Παρασκευή","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ",6,"Κώστας","http://www.phed.auth.gr/etefaa/course/view.php?id=83","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"045","Υδατοσφαίριση","Μαμελετζή","Τετάρτη","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ",6,"Μαμελετζή","http://www.phed.auth.gr/etefaa/course/view.php?id=82","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"003","Υδρογυμναστική – Υδροαεροβική","Αλεξίου","Τρίτη","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ",6,"Αλεξίου","http://www.phed.auth.gr/etefaa/course/view.php?id=81","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"025","Υποβρύχιες Καταδύσεις","Θώμογλου","Πέμπτη","12.30-14.00","Εθνικό Κολυμβητήριο","ΑΠΘ",6,"Θώμογλου","http://www.phed.auth.gr/etefaa/course/view.php?id=80","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"055","Χιονοδρομία","Δούκα","Τετάρτη","12.30-14.00","ΤΑΞΥΠ 4","ΑΠΘ",6,"Δούκα","http://www.phed.auth.gr/etefaa/course/view.php?id=79","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
"06Α","Χορογραφία Επιδείξεων","Δούκα","e-τεφαα",,,,6,"Δούκα","http://www.phed.auth.gr/etefaa/course/view.php?id=78","autumn","ομάδα 6 - Μαθήματα Εφαρμογής Ελεύθερης Επιλογής"
