"exetastiki","year","day","date","fulldate","class","course","time","place","type"
"Jan 2016","b","Τρίτη","09/02/2016","Τρίτη 09/02/2016","B7","Ενόργανη Γυμναστική ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","B4","Ρυθμική Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","B8","Ποδόσφαιρο ","9.00-10.00 ","Θέρμη ","πράξη"
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","B9","Χειροσφαίριση ","9.00-10.00 ","Πανεπιστημιακό Γυμναστήριο ","πράξη"
"Jan 2016","b","Τετάρτη","10/02/2016","Τετάρτη 10/02/2016","B10","Ενόργανη Γυμναστική ","9.00-10.00 ","Αλεξάνδρειο Μέλαθρο ","πράξη"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B1","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B2","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B3","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B4","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B5","Αγωγή σε Άτομα με Αναπηρίες","18.00-19.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B6","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B7","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B8","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B9","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
"Jan 2016","b","Πέμπτη","11/02/2016","Πέμπτη 11/02/2016","B10","Αγωγή σε Άτομα με Αναπηρίες","19.00-20.00 ","Αμφιθέατρο Ιατρικής","θεωρία"
